id,year,month,day,obs_date,season_type,temperature,min_temp,max_temp,humidity,precipitation,wind_speed,is_flood_risk,actual_flood,data_quality,created_at,avg_temp,pressure,api_success_count,data_source
1.0,2020.0,7,10.0,2020-07-10 00:00:00.000000,rainy,24.5,22.7,27.7,75.0,2.2,2.8,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
2.0,2020.0,7,11.0,2020-07-11 00:00:00.000000,rainy,25.8,22.2,30.2,62.6,0.0,2.6,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
3.0,2020.0,7,12.0,2020-07-12 00:00:00.000000,rainy,23.5,21.7,26.0,71.9,2.9,2.4,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
4.0,2020.0,7,13.0,2020-07-13 00:00:00.000000,rainy,18.7,17.7,21.7,94.8,47.6,4.0,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
5.0,2020.0,7,14.0,2020-07-14 00:00:00.000000,rainy,20.3,17.2,24.3,79.4,11.5,2.8,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
6.0,2020.0,7,15.0,2020-07-15 00:00:00.000000,rainy,23.4,18.9,28.7,63.1,0.0,2.0,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
7.0,2020.0,7,16.0,2020-07-16 00:00:00.000000,rainy,25.0,20.4,29.7,70.9,0.0,1.8,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
8.0,2020.0,7,17.0,2020-07-17 00:00:00.000000,rainy,26.0,21.5,31.6,72.0,0.0,1.9,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
9.0,2020.0,7,18.0,2020-07-18 00:00:00.000000,rainy,26.1,22.8,31.0,71.6,0.0,1.6,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
10.0,2020.0,7,19.0,2020-07-19 00:00:00.000000,rainy,24.0,20.6,26.6,81.6,29.1,2.7,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
11.0,2020.0,7,20.0,2020-07-20 00:00:00.000000,rainy,23.8,22.4,26.6,86.3,3.6,3.7,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
12.0,2020.0,7,21.0,2020-07-21 00:00:00.000000,rainy,25.0,21.4,30.5,77.0,0.0,1.6,0,0.0,ASOS_DAILY,2025-07-10 05:15:19,,,,
