tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2020-07-10 00:00,1,108,서울,27.7,,,,2.2,,110,,60,,22.2,19.2,993.9,,1003.5,,,9,,,,6,1,ScCi,,1965,,,25.0,,27.5,27.6,28.5,26.9
2020-07-10 01:00,2,108,서울,26.6,,,,2.5,,50,,65,,22.5,19.4,994.0,,1003.6,,,9,,,,6,1,,,1927,,,24.3,,27.1,27.3,28.4,26.8
2020-07-10 02:00,3,108,서울,26.2,,,,3.4,,50,,68,,23.1,19.8,993.7,,1003.3,,,9,,,,8,6,,69,1766,,,24.1,,26.9,27.0,28.2,26.8
2020-07-10 03:00,4,108,서울,25.5,,,,2.6,,70,,70,,22.8,19.6,993.2,,1002.9,,,9,,,,1,0,Ci,,1909,,,23.5,,26.5,26.7,28.0,26.7
2020-07-10 04:00,5,108,서울,25.0,,,,2.7,,70,,71,,22.4,19.3,993.0,,1002.7,,,9,,,,3,1,AcCi,30,1845,,,23.3,,26.3,26.5,27.9,26.6
2020-07-10 05:00,6,108,서울,25.0,,,,2.4,,70,,70,,22.1,19.1,993.3,,1003.0,,,9,,,,10,10,As,28,1899,,,24.0,,26.1,26.3,27.7,26.5
2020-07-10 06:00,7,108,서울,24.1,,0.1,,2.4,,50,,79,,23.7,20.2,993.1,,1002.7,,0.0,,0.01,,,10,6,ScAs,11,1469,,01,23.3,,25.9,26.1,27.6,26.4
2020-07-10 07:00,8,108,서울,24.2,,0.0,,3.0,,50,,75,,22.5,19.4,992.4,,1002.0,,0.0,,0.07,,,10,6,ScAs,16,1806,,01,23.0,,25.8,25.9,27.4,26.3
2020-07-10 08:00,9,108,서울,24.5,,0.0,,3.5,,50,,72,,22.1,19.1,992.6,,1002.2,,0.0,,0.21,,,10,6,ScAs,17,1964,,01,24.3,,25.7,25.8,27.3,26.2
2020-07-10 09:00,10,108,서울,23.3,,1.9,,2.7,,50,,84,,24.0,20.4,992.3,,1002.0,,0.0,,0.22,,,10,7,ScAs,12,1300,,01,23.5,,25.6,25.7,27.2,26.1
