tm,avgTa,minTa,maxTa,sumRn,avgWs,avgRhm,avgTs,ddMefs,sumGsr,maxInsWs,sumSmlEv,avgTd,avgPs
2000-01-10,-0.8,-4.8,2.3,0.1,2.8,63.3,0.3,0.1,5.19,8.8,1.0,-7.7,1025.9
2000-01-11,-0.2,-7.1,4.9,,2.3,57.9,-1.1,,4.24,8.4,1.0,-7.8,1027.3
2000-01-12,3.7,2.6,5.1,3.9,2.9,81.8,2.3,,1.47,9.2,0.6,0.8,1019.6
2000-01-13,0.7,-2.1,4.0,1.7,3.0,83.8,0.8,,0.77,8.9,1.0,-1.7,1016.6
2000-01-14,-1.4,-2.6,1.1,,2.5,68.6,-0.8,,2.28,6.1,0.5,-6.3,1023.1
2000-01-15,-1.1,-4.9,3.3,,1.5,64.8,-1.2,,3.41,5.0,0.7,-7.1,1026.0
2000-01-16,0.2,-2.2,4.5,,1.9,65.6,0.1,,5.95,8.6,0.9,-5.8,1023.3
2000-01-17,-0.9,-4.4,3.8,,1.9,70.5,-0.8,,4.72,6.2,0.8,-5.7,1021.7
2000-01-18,-1.8,-5.1,2.3,,2.0,65.5,-2.1,,5.89,7.1,0.8,-8.0,1021.6
2000-01-19,-4.7,-7.5,-1.2,0.8,3.3,71.1,-4.1,2.0,2.09,12.3,0.6,-9.3,1021.6
2000-01-20,-8.5,-11.4,-5.4,0.0,3.9,55.5,-7.4,,6.27,11.0,1.4,-16.1,1032.8
2000-01-21,-7.0,-11.6,-2.6,,1.7,51.5,-7.4,,5.44,6.6,0.9,-15.7,1039.2
2000-01-22,-2.5,-6.7,1.6,1.2,2.2,62.8,-2.3,2.8,2.97,6.9,0.8,-9.4,1031.1
2000-01-23,2.4,-1.1,7.4,0.4,2.0,72.8,2.4,1.1,5.18,8.3,1.2,-2.4,1024.2
2000-01-24,-2.9,-6.5,0.2,,3.4,61.3,-2.5,,4.94,8.4,0.9,-9.5,1029.9
2000-01-25,-7.5,-10.6,-2.9,,3.5,45.8,-5.4,,6.62,11.9,1.0,-17.6,1031.9
2000-01-26,-8.3,-11.2,-4.5,,2.9,48.9,-6.4,,6.42,8.2,1.1,-17.3,1031.2
2000-01-27,-5.9,-11.2,-0.8,,1.9,51.6,-4.1,,6.16,7.5,0.8,-14.8,1033.0
2000-01-28,-3.4,-8.7,2.5,,1.8,60.6,-3.1,,5.42,5.7,1.2,-10.2,1034.0
2000-01-29,-0.3,-4.1,2.7,0.0,2.0,71.4,-1.0,,3.32,6.1,0.9,-4.9,1032.6
2000-01-30,-4.3,-8.1,1.0,0.0,4.5,58.6,-4.0,,5.83,12.3,1.1,-11.6,1034.1
2000-01-31,-7.8,-10.7,-4.7,,3.0,49.0,-5.6,,6.56,8.3,1.2,-17.2,1037.6
2000-02-01,-6.6,-11.6,-2.0,,2.0,55.0,-6.5,,5.22,7.6,1.0,-14.8,1033.4
2000-02-02,-3.8,-8.8,0.8,,2.2,66.3,-3.3,,6.02,8.2,1.0,-9.8,1031.2
2000-02-03,-1.8,-4.3,2.0,0.0,2.1,69.9,-2.2,,3.35,9.8,0.8,-6.6,1028.4
2000-02-04,-2.0,-7.1,3.7,,1.3,56.9,-3.5,,10.42,5.4,1.3,-10.2,1030.6
2000-02-05,-0.5,-5.9,4.1,0.5,1.7,66.3,-2.3,0.9,2.93,6.3,0.8,-6.6,1025.3
2000-02-06,-0.1,-1.3,2.3,0.7,2.6,83.4,0.1,1.9,6.41,8.8,0.7,-2.9,1020.4
2000-02-07,-1.6,-5.3,1.7,0.0,2.7,68.1,-1.9,,5.23,11.1,1.1,-6.8,1016.4
2000-02-08,-6.9,-9.4,-4.4,,4.0,51.4,-6.1,,9.93,11.1,1.3,-15.4,1018.0
2000-02-09,-5.2,-9.5,-0.8,,2.6,43.8,-4.6,,12.46,8.9,1.0,-16.3,1023.3
2000-02-10,-2.2,-8.8,3.1,,2.0,49.0,-3.6,,11.42,8.1,1.7,-12.0,1021.7
2000-02-11,1.6,-1.0,5.3,0.0,2.4,67.0,1.1,,9.35,9.0,1.2,-4.2,1020.1
2000-02-12,2.1,-1.5,6.1,,1.3,76.4,0.3,,5.04,5.5,1.1,-1.7,1019.8
2000-02-13,2.5,-2.2,6.5,,1.8,77.3,1.1,,7.82,6.9,0.5,-1.1,1018.9
2000-02-14,-0.3,-4.3,3.5,0.9,4.1,58.8,0.2,1.3,12.4,13.2,1.3,-8.6,1015.4
2000-02-15,-5.4,-7.8,-2.0,,4.7,42.3,-3.2,,13.04,18.5,2.0,-16.2,1019.1
2000-02-16,-4.6,-8.1,-0.2,,3.7,43.8,-3.1,,13.38,13.4,1.3,-15.3,1021.9
2000-02-17,-3.9,-8.4,0.4,,2.9,47.1,-2.6,,13.77,12.0,2.3,-14.0,1026.0
2000-02-18,-2.1,-7.5,3.1,,2.1,41.8,-1.6,,12.94,8.5,1.5,-13.4,1025.8
2000-02-19,1.7,-3.7,7.5,,2.0,44.3,1.5,,9.71,8.4,2.5,-9.5,1017.4
