tm,ta,rn,ws,wd,hm,pa
2020-12-10 06:00:00,3.6,0.0,0.3,0.0,64,1012.4
2020-12-10 09:00:00,3.7,0.0,1.7,90.0,66,1012.6
2020-12-13 06:00:00,0.7,0.2,3.0,70.0,82,1006.1
2020-12-13 09:00:00,-0.2,1.7,1.9,70.0,91,1006.0
2020-12-13 12:00:00,0.8,0.6,2.7,50.0,93,1003.9
2020-12-13 15:00:00,0.5,0.4,2.1,250.0,80,1005.6
2020-12-18 00:00:00,-1.4,0.0,0.8,90.0,50,1017.2
2020-12-18 03:00:00,-1.8,0.0,2.7,50.0,65,1016.7
2020-12-18 06:00:00,-2.1,0.2,2.3,50.0,74,1015.7
2020-12-18 09:00:00,-1.9,0.0,1.6,50.0,73,1017.2
2020-12-23 18:00:00,7.5,0.0,3.3,200.0,74,1009.1
2020-12-27 21:00:00,7.1,0.0,2.0,290.0,58,1010.9
2020-12-28 00:00:00,6.1,0.0,1.6,20.0,66,1010.8
2020-12-28 03:00:00,5.6,1.3,0.7,50.0,82,1011.8
2020-12-29 15:00:00,1.4,0.2,3.2,290.0,82,1010.1
2020-12-29 18:00:00,-0.1,0.0,3.2,270.0,67,1010.2
2020-12-29 21:00:00,-3.6,0.0,3.9,270.0,48,1009.8
2020-12-31 18:00:00,-6.7,0.0,2.5,250.0,54,1013.8
2021-01-05 00:00:00,-2.1,0.0,2.4,50.0,73,1018.1
2021-01-05 03:00:00,-2.5,0.0,1.0,250.0,76,1017.9
2021-01-05 06:00:00,-4.2,0.0,3.7,320.0,80,1018.6
2021-01-05 09:00:00,-5.8,0.0,3.3,320.0,67,1021.4
2021-01-06 21:00:00,-5.1,2.2,2.0,230.0,89,1006.7
2021-01-07 00:00:00,-8.3,0.1,6.4,290.0,72,1008.6
2021-01-12 15:00:00,-0.8,0.1,2.4,50.0,74,1004.7
2021-01-12 18:00:00,-0.8,2.3,1.6,200.0,91,1004.7
2021-01-12 21:00:00,-0.9,0.2,0.2,0.0,92,1005.2
2021-01-13 00:00:00,-2.0,0.0,1.9,20.0,93,1005.0
2021-01-13 03:00:00,-2.4,0.0,1.7,50.0,94,1004.8
2021-01-15 15:00:00,9.2,0.2,5.6,230.0,82,1001.3
2021-01-17 18:00:00,-2.6,0.0,3.2,200.0,58,1014.0
2021-01-17 21:00:00,-2.8,0.0,1.8,180.0,74,1013.5
2021-01-18 00:00:00,-3.0,0.0,2.0,250.0,84,1012.5
2021-01-18 03:00:00,-3.4,0.0,0.5,270.0,76,1010.9
2021-01-18 06:00:00,-3.7,0.0,1.9,20.0,83,1008.6
2021-01-18 12:00:00,-0.6,0.3,2.2,250.0,88,1006.8
2021-01-18 15:00:00,-0.4,0.0,6.0,290.0,56,1006.9
2021-01-21 15:00:00,6.1,0.6,2.1,70.0,67,1010.5
2021-01-21 18:00:00,4.6,4.0,2.1,50.0,91,1010.8
2021-01-21 21:00:00,4.8,3.7,2.1,50.0,95,1010.7
2021-01-22 00:00:00,4.9,0.9,1.9,50.0,96,1009.4
2021-01-22 03:00:00,5.0,0.0,1.4,50.0,93,1008.6
2021-01-22 06:00:00,5.0,0.1,1.2,50.0,95,1008.7
2021-01-26 09:00:00,5.9,0.0,0.6,250.0,73,1009.7
2021-01-26 12:00:00,6.1,1.3,0.6,70.0,88,1009.1
2021-01-26 15:00:00,6.9,0.0,2.9,230.0,86,1007.0
2021-01-26 18:00:00,5.2,0.4,3.2,290.0,94,1008.2
2021-01-28 12:00:00,0.8,2.0,4.2,270.0,82,1002.6
2021-01-30 06:00:00,-5.7,0.0,3.8,50.0,53,1013.1
2021-01-30 09:00:00,-5.6,0.2,3.7,50.0,72,1013.1
2021-01-30 12:00:00,-0.8,0.3,1.8,50.0,73,1013.5
2021-02-01 03:00:00,5.7,0.7,1.7,50.0,78,1007.8
2021-02-02 21:00:00,-5.3,0.0,3.3,340.0,58,1015.4
2021-02-03 00:00:00,-7.7,0.0,2.9,290.0,55,1017.3
2021-02-03 18:00:00,0.3,0.0,3.2,200.0,70,1012.5
2021-02-03 21:00:00,0.2,0.0,1.1,180.0,76,1010.5
2021-02-04 00:00:00,0.0,3.4,2.5,230.0,96,1009.9
2021-02-04 03:00:00,-2.8,0.1,2.1,270.0,70,1013.5
2021-02-14 06:00:00,6.7,0.0,1.0,70.0,51,1007.5
2021-02-15 03:00:00,7.0,0.0,2.4,250.0,64,999.2
2021-02-15 06:00:00,5.3,1.2,2.1,200.0,89,997.9
2021-02-15 09:00:00,3.4,0.2,4.0,230.0,91,998.4
2021-02-16 09:00:00,-5.2,0.0,3.7,270.0,59,1007.5
2021-02-16 12:00:00,-5.0,0.8,2.7,270.0,81,1006.6
2021-02-16 15:00:00,-3.2,0.7,2.5,270.0,62,1004.2
2021-02-17 21:00:00,-9.1,0.0,5.0,270.0,53,1009.4
2021-12-01 00:00:00,0.7,0.0,5.6,270.0,60,1004.3
2021-12-02 15:00:00,4.1,0.0,4.2,200.0,72,1006.5
2021-12-02 18:00:00,4.8,0.0,2.6,200.0,73,1004.8
2021-12-02 21:00:00,4.8,0.1,2.8,200.0,79,1004.5
2021-12-03 03:00:00,4.4,0.4,2.3,250.0,86,1003.1
2021-12-03 06:00:00,2.7,0.0,2.5,320.0,69,1005.0
2021-12-10 12:00:00,7.3,0.5,2.6,50.0,84,1013.7
2021-12-10 15:00:00,8.2,0.0,0.3,0.0,82,1013.1
2021-12-10 18:00:00,7.6,0.2,2.3,270.0,88,1014.8
2021-12-14 18:00:00,6.0,0.0,2.2,180.0,73,1008.7
2021-12-14 21:00:00,5.6,0.4,1.3,20.0,85,1008.9
2021-12-15 00:00:00,5.8,0.8,1.3,20.0,92,1009.0
2021-12-15 03:00:00,5.5,0.1,1.5,20.0,95,1008.6
2021-12-15 06:00:00,6.2,1.3,1.0,180.0,93,1007.6
2021-12-15 09:00:00,6.7,0.6,0.2,0.0,94,1009.2
2021-12-15 12:00:00,9.5,0.1,2.5,200.0,81,1009.7
2021-12-16 21:00:00,7.3,0.0,2.6,250.0,76,1005.8
2021-12-18 15:00:00,-1.9,0.0,2.7,200.0,63,1012.8
2021-12-18 18:00:00,-3.4,1.6,2.2,50.0,88,1011.5
2021-12-19 00:00:00,-2.5,1.2,1.9,230.0,95,1008.7
