tm,ta,rn,ws,wd,hm,pa
2020-07-10 06:00:00,24.1,0.1,2.4,50.0,79,993.1
2020-07-10 07:00:00,24.2,0.0,3.0,50.0,75,992.4
2020-07-10 08:00:00,24.5,0.0,3.5,50.0,72,992.6
2020-07-10 09:00:00,23.3,1.9,2.7,50.0,84,992.3
2020-07-10 10:00:00,24.1,0.0,2.8,70.0,79,992.2
2020-07-10 11:00:00,23.8,0.2,2.6,340.0,83,993.0
2020-07-10 12:00:00,23.9,0.0,2.6,50.0,83,993.1
2020-07-12 17:00:00,24.5,0.1,1.6,70.0,75,998.5
2020-07-12 18:00:00,23.7,0.8,1.5,90.0,82,998.2
2020-07-12 19:00:00,23.0,0.8,1.5,70.0,87,998.0
2020-07-12 20:00:00,22.6,0.6,2.0,110.0,88,998.5
2020-07-12 21:00:00,22.2,0.5,1.9,90.0,90,998.5
2020-07-12 22:00:00,22.1,0.1,2.3,70.0,90,998.2
2020-07-13 02:00:00,20.3,1.3,3.7,50.0,88,996.1
2020-07-13 03:00:00,19.2,2.1,3.6,70.0,90,995.5
2020-07-13 04:00:00,18.3,2.5,3.8,70.0,92,994.7
2020-07-13 05:00:00,18.0,1.8,4.3,50.0,94,994.5
2020-07-13 06:00:00,17.8,2.1,4.4,70.0,94,994.1
2020-07-13 07:00:00,17.8,3.8,4.5,70.0,96,993.8
2020-07-13 08:00:00,18.0,2.1,4.0,50.0,96,994.2
2020-07-13 09:00:00,18.6,0.8,4.8,50.0,96,993.7
2020-07-13 10:00:00,19.1,0.6,4.2,70.0,95,993.8
2020-07-13 11:00:00,19.1,3.9,4.4,50.0,96,993.5
2020-07-13 12:00:00,19.3,2.3,4.3,70.0,95,992.9
2020-07-13 13:00:00,19.4,1.6,3.7,70.0,93,992.9
2020-07-13 14:00:00,19.4,0.6,3.4,70.0,94,992.3
2020-07-13 15:00:00,19.3,0.8,4.0,50.0,94,992.1
2020-07-13 16:00:00,19.3,1.4,3.6,70.0,95,991.9
2020-07-13 17:00:00,19.2,2.8,4.2,70.0,96,991.6
2020-07-13 18:00:00,19.0,1.6,3.5,70.0,96,991.6
2020-07-13 19:00:00,18.6,0.7,4.7,70.0,95,991.7
2020-07-13 20:00:00,18.2,1.5,4.2,70.0,96,991.8
2020-07-13 21:00:00,18.1,1.0,4.9,70.0,96,991.5
2020-07-13 22:00:00,18.1,1.4,4.3,70.0,96,991.8
2020-07-13 23:00:00,18.0,5.6,3.3,50.0,97,992.0
2020-07-14 00:00:00,17.9,5.3,3.8,50.0,97,992.7
2020-07-14 01:00:00,17.7,5.3,3.1,70.0,97,992.7
2020-07-14 02:00:00,17.6,3.7,3.6,70.0,98,991.7
2020-07-14 03:00:00,17.5,0.7,3.6,70.0,96,991.3
2020-07-14 04:00:00,17.3,0.3,2.3,70.0,94,991.9
2020-07-14 05:00:00,17.2,1.0,3.5,50.0,94,992.3
2020-07-14 06:00:00,17.2,0.2,1.8,70.0,93,992.6
2020-07-14 07:00:00,17.5,0.1,2.5,50.0,94,992.8
2020-07-14 08:00:00,18.0,0.2,2.8,50.0,92,993.1
2020-07-14 09:00:00,18.8,0.0,2.5,50.0,89,993.6
2020-07-14 10:00:00,20.0,0.0,3.0,50.0,82,993.8
2020-07-15 00:00:00,20.5,0.0,1.7,50.0,72,995.7
2020-07-17 17:00:00,28.2,0.0,4.5,250.0,67,997.6
2020-07-17 18:00:00,28.3,0.0,2.3,250.0,67,997.3
2020-07-19 07:00:00,22.5,1.2,2.5,50.0,82,996.4
2020-07-19 08:00:00,21.4,7.3,2.8,50.0,91,996.6
2020-07-19 09:00:00,20.7,14.6,3.9,50.0,94,996.5
2020-07-19 10:00:00,20.8,5.8,3.2,50.0,96,996.6
2020-07-19 11:00:00,21.1,0.1,3.7,50.0,96,996.5
2020-07-20 00:00:00,26.2,0.1,1.9,90.0,81,992.5
2020-07-20 01:00:00,26.2,0.1,2.2,90.0,81,991.9
2020-07-20 02:00:00,26.4,0.3,2.2,160.0,83,991.6
2020-07-20 03:00:00,26.4,0.3,3.9,160.0,85,991.5
2020-07-20 04:00:00,25.8,1.0,4.0,180.0,90,991.8
2020-07-20 05:00:00,25.5,0.1,2.9,200.0,91,991.9
2020-07-20 06:00:00,25.3,0.0,6.7,200.0,88,992.0
2020-07-20 07:00:00,24.5,0.0,5.9,200.0,89,992.6
2020-07-20 08:00:00,23.8,0.1,4.3,200.0,93,993.3
2020-07-20 09:00:00,23.3,0.9,5.4,180.0,95,993.8
2020-07-20 10:00:00,23.2,0.7,3.9,200.0,96,994.0
2020-07-20 11:00:00,22.9,0.1,4.3,230.0,94,994.9
2020-07-20 12:00:00,22.8,0.0,4.1,200.0,88,995.6
