rank,title,subtitle,writer,price,grade,image
1,청춘의 독서,세상을 바꾼 위험하고 위대한 생각들,유시민,"17,010",9.5,https://image.yes24.com/goods/145629000/L
2,엄마의 말 연습,화내지 않고 사랑하는 마음을 오롯이 전하는 39가지 존중어 수업,윤지영,"15,750",9.8,https://image.yes24.com/goods/112925092/L
3,단 한 번의 삶,최강 형제가 들려주는 최소한의 정치 교양,김영하,"15,120",9.1,https://image.yes24.com/goods/144021119/L
4,어른의 품격을 채우는 100일 필사 노트,양귀자 장편소설,김종원,"18,000",9.8,https://image.yes24.com/goods/142687238/L
5,이로운 보수 의로운 진보,AI 시대의 실용적 생존 가이드,최강욱,"18,000",9.6,https://image.yes24.com/goods/145655960/L
6,소년이 온다,자연 생물 관찰 만화,최강혁,"13,500",9.7,https://image.yes24.com/goods/13137546/L
7,초역 부처의 말,"누구의 시선도 아닌, 내 의지대로 살겠다는 선언",한강,"16,020",9.4,https://image.yes24.com/goods/126590468/L
8,어른의 행복은 조용하다,06. 매너와 에티켓: 원만한 또래 관계를 위한 예의와 규칙,코이케 류노스케,"16,020",9.5,https://image.yes24.com/goods/136298166/L
9,모순,이재명의 인생과 정치철학,박재현,"11,700",9.6,https://image.yes24.com/goods/8759796/L
10,듀얼 브레인,광해군 편 : 두 얼굴의 왕,태수,"18,900",8.7,https://image.yes24.com/goods/142876017/L
11,쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),지방직 대비,양귀자,"15,750",8.9,https://image.yes24.com/goods/125085536/L
12,빛과 실,"석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사",이선 몰릭,"13,500",9.6,https://image.yes24.com/goods/145569016/L
13,에그박사 15,시장의 주기와 추세를 읽는 눈,신동숙,"14,220",9.6,https://image.yes24.com/goods/146956714/L
14,혼모노,존 윌리엄스 장편소설,쇼펜하우어,"16,200",9.6,https://image.yes24.com/goods/143911524/L
15,위버멘쉬,전 세계 최초 공식 자서전,김지민,"16,020",9.7,https://image.yes24.com/goods/142972546/L
16,친구 사이에도 예의가 필요해,삶의 본질에 집중하는 태도에 관하여,한강,"15,300",9.0,https://image.yes24.com/goods/146488953/L
17,급류,옳은 방식으로 질문해야 답이 보인다,에그박사,"12,600",9.9,https://image.yes24.com/goods/116586303/L
