	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
0	코스	452	485	937	51.76%	48.24%
1	추천	398	299	697	42.90%	57.10%
2	맛집	100	288	388	74.23%	25.77%
3	여수	0	351	351	100.00%	0.00%
4	주달	0	306	306	100.00%	0.00%
5	계획	155	60	215	27.91%	72.09%
6	숙소	139	60	199	30.15%	69.85%
7	질문	118	78	196	39.80%	60.20%
8	일정	114	81	195	41.54%	58.46%
9	한옥마을	0	193	193	100.00%	0.00%
10	부탁	105	74	179	41.34%	58.66%
11	티비	0	178	178	100.00%	0.00%
12	국내	5	168	173	97.11%	2.89%
13	답변	105	57	162	35.19%	64.81%
14	제주	5	153	158	96.84%	3.16%
15	전문	10	128	138	92.75%	7.25%
16	봉이	0	128	128	100.00%	0.00%
17	제주도	0	128	128	100.00%	0.00%
18	언서	0	128	128	100.00%	0.00%
19	한옥	5	119	124	95.97%	4.03%
20	친구	45	76	121	62.81%	37.19%
21	마을	0	119	119	100.00%	0.00%
22	가족	95	20	115	17.39%	82.61%
23	안녕	57	53	110	48.18%	51.82%
24	참고	58	46	104	44.23%	55.77%
25	당일치기	25	70	95	73.68%	26.32%
26	황리	95	0	95	0.00%	100.00%
27	관련	67	27	94	28.72%	71.28%
28	이번	32	55	87	63.22%	36.78%
29	택시	55	30	85	35.29%	64.71%
30	정도	53	31	84	36.90%	63.10%
31	예정	40	35	75	46.67%	53.33%
32	공원	15	56	71	78.87%	21.13%
33	준비	45	25	70	35.71%	64.29%
34	근처	30	35	65	53.85%	46.15%
35	버스	21	40	61	65.57%	34.43%
36	이용	26	35	61	57.38%	42.62%
37	엄마	55	5	60	8.33%	91.67%
38	아이	45	15	60	25.00%	75.00%
39	시간	22	37	59	62.71%	37.29%
40	터미널	25	33	58	56.90%	43.10%
41	날씨	53	0	53	0.00%	100.00%
42	가능	23	30	53	56.60%	43.40%
43	덕진	0	51	51	100.00%	0.00%
44	아래	31	20	51	39.22%	60.78%
45	장소	25	26	51	50.98%	49.02%
46	문화	30	20	50	40.00%	60.00%
47	관광지	25	25	50	50.00%	50.00%
48	역사	45	5	50	10.00%	90.00%
49	추억	30	19	49	38.78%	61.22%
50	이동	15	30	45	66.67%	33.33%
51	관광	15	30	45	66.67%	33.33%
52	혼자	20	25	45	55.56%	44.44%
53	도움	20	25	45	55.56%	44.44%
54	시작	15	30	45	66.67%	33.33%
55	운전	45	0	45	0.00%	100.00%
56	동선	40	5	45	11.11%	88.89%
57	식당	40	4	44	9.09%	90.91%
58	남자	14	30	44	68.18%	31.82%
59	당일	23	20	43	46.51%	53.49%
60	갈만	15	28	43	65.12%	34.88%
61	방문	33	10	43	23.26%	76.74%
62	사람	10	31	41	75.61%	24.39%
63	여자	26	15	41	36.59%	63.41%
64	카페	25	16	41	39.02%	60.98%
65	시장	10	31	41	75.61%	24.39%
66	동물원	0	40	40	100.00%	0.00%
67	대중교통	15	25	40	62.50%	37.50%
68	주말	20	20	40	50.00%	50.00%
69	렌트	15	25	40	62.50%	37.50%
70	투어	30	10	40	25.00%	75.00%
71	아빠	33	5	38	13.16%	86.84%
72	월지	38	0	38	0.00%	100.00%
73	첨성대	38	0	38	0.00%	100.00%
74	펜션	22	15	37	40.54%	59.46%
