word,count
경주,1937
여행,1568
일,389
코스,370
박,298
추천,261
곳,207
월,143
만,107
숙소,98
친구,90
일정,90
계획,87
길,87
것,84
수,84
중,82
거,77
부탁,77
질문,76
황리,75
첨성대,73
제,68
안녕,64
가족,62
불국사,59
답변,59
맛집,59
데,59
시,58
차,56
날,53
분,52
게,49
이번,48
여행지,48
명,48
여자,46
때,45
대릉원,44
아래,43
어디,42
예정,41
버스,40
펜션,39
시간,38
동궁,38
숙박,38
아이,38
이동,38
저,37
정도,37
도움,37
도착,36
생각,36
역사,35
관련,34
번,34
보문,34
석굴암,33
주,33
참고,33
월지,33
출발,32
택시,31
터미널,30
이용,30
야경,29
내공,28
월드,28
근처,28
시내,26
마을,26
추억,26
안압지,26
관광지,25
정보,24
당일,24
구경,24
박물관,24
다음,24
가요,24
저희,24
당일치기,23
처음,23
풀,23
장소,23
둘,23
원,23
방문,22
카페,21
서울,21
준비,21
자전거,20
사람,20
살,20
전,20
남자,19
편,19
혼자,19
등,19
빌라,18
교촌,18
동선,18
문,18
호텔,18
정교,18
문화,18
저녁,18
하루,18
대중교통,17
동안,17
초,17
위치,17
첫날,17
추석,17
가능,17
년,17
달,16
유적지,16
아빠,16
사이트,16
투어,16
부산,16
포항,16
쪽,15
볼거리,15
갈만,15
주말,15
감사,15
말,15
대,15
후기,14
주변,14
감포,14
둘째,14
엄마,14
수학여행,14
형편,14
거리,14
시외버스,14
달동네,14
렌트,14
국립,13
관광,13
게스트,13
하우스,13
블로그,13
오푸스,13
기차,13
천마총,13
사진,13
단지,13
부모,13
꺼,13
주역,12
소개,12
날씨,12
비,12
고민,12
교통편,12
벚꽃,12
토요일,12
문화재,12
방법,12
운전,12
여기,12
집,12
지,12
지도,11
파크,11
보문관광단지,11
자차,11
하나,11
후,11
세,11
오후,11
전문,11
시설,11
얼마,10
여행가,10
절리,10
걸,10
쭈니,10
식당,10
경기도,10
신라,10
예약,10
환영,10
데이트,10
선택,10
남산,10
학년,10
압지,10
안,10
루트,10
주상,10
돈,10
바다,10
아침,10
반려,9
축제,9
추가,9
외,9
민박,9
개,9
지역,9
한국,9
경주역,9
아버지,9
인,9
겁니다,9
필요,9
대여,9
일요일,8
시작,8
공원,8
등등,8
홈페이지,8
명소,8
오전,8
글,8
위주,8
건데,8
역,8
때문,8
초등,8
중순,8
신경,8
카테고리,8
블로거,8
시장,8
커플,8
관람,8
아들,8
어머니,8
도시,8
코로나,7
양동,7
할머니,7
나,7
채택,7
이후,7
조언,7
식,7
도보,7
포함,7
출발지,7
플레이스,7
휴가,7
밤,7
첨부,7
한복,7
첫째,7
중요,7
식사,7
날짜,7
밑,7
경우,7
경험,7
핫,7
점심,7
조절,7
음식,7
남친,7
거기,6
경비,6
연휴,6
말씀,6
껀,6
지식,6
건,6
딸,6
인원,6
겨울,6
어른,6
릉,6
행복,6
고려,6
대명,6
주요,6
모텔,6
여러분,6
고등학생,6
문의,6
