word,count
여행,2997
경주,1944
전주,1764
코스,723
일,703
박,555
곳,518
추천,495
만,320
한옥마을,264
맛집,246
전,212
월,204
친구,181
수,176
질문,166
부탁,164
숙소,159
거,158
것,152
숙박,147
중,146
계획,143
일정,141
제,138
안녕,129
마을,124
봉,122
여수,122
시,117
주달,114
길,113
분,108
차,106
데,101
시간,99
달,98
답변,96
게,95
어디,95
정보,91
한옥,91
이번,90
정도,87
버스,85
때,84
가족,83
황리,75
당일치기,75
명,73
첨성대,73
도착,72
생각,70
택시,70
날,70
여자,68
예정,68
터미널,67
이용,67
봉이,66
여행지,66
저,66
근처,65
주,65
출발,63
공원,63
번,60
불국사,59
이동,59
도움,59
티비,58
전문,57
인,57
원,57
감사,56
참고,55
아래,54
관련,52
국내,52
카드,51
아이,51
사람,51
네임,51
내공,51
펜션,50
시장,49
거리,49
당일,48
제주,48
구경,47
플,47
등,47
관광,47
혼자,47
관광지,46
서울,45
대릉원,44
저녁,44
부산,44
덕진,43
역사,43
다음,43
제주도,43
남자,43
대중교통,43
언서,43
처음,42
블로그,42
호텔,41
박물관,41
야경,41
쪽,40
장소,40
둘,40
기차,40
추억,38
동궁,38
집,38
준비,37
가능,37
시내,37
하우스,36
가요,35
게스트,35
보문,34
저희,34
경기전,34
전동성당,34
카페,34
주변,34
주말,33
토요일,33
월지,33
석굴암,33
동물원,33
볼거리,33
문화,32
하루,32
사항,31
방문,31
건데,30
동안,30
살,30
사진,29
말,29
동선,29
모텔,29
음식,29
남부,29
지역,28
월드,28
부모,28
풀,27
시외버스,27
한복,26
외,26
문,26
게시판,26
방법,26
엄마,26
안압지,26
초,25
위치,25
자전거,25
아빠,25
먹거리,25
오후,25
교통편,24
벽화,24
예약,23
렌트,23
편,23
지도,23
갈만,23
추석,23
대,23
날씨,23
고민,22
꺼,22
수학여행,22
얼마,22
후,22
체험,22
명소,22
가격,21
년,21
포항,21
자차,21
시작,21
커플,21
주역,21
투어,21
여기,20
비,20
담양,20
국립,20
첫날,20
경우,20
말씀,19
대여,19
등등,19
전라도,19
아침,19
사이트,19
정교,18
하나,18
오전,18
유적지,18
필요,18
광주,18
빌라,18
쭈니,18
교촌,18
위주,18
시설,18
한국,17
도시,17
군산,17
둘째,17
금요일,17
전통,17
여행가,17
천,17
블로거,16
듯,16
때문,16
도보,16
루트,16
동반,16
소개,16
비용,16
세,16
후기,16
안,16
밤,15
포함,15
겁니다,15
술,15
껀,15
내,15
식사,15
점심,15
경비,15
선택,15
나,15
글,15
