word,count
전주,1763
여행,1429
코스,353
일,314
곳,311
한옥마을,263
박,257
추천,234
만,213
전,192
맛집,187
봉,122
여수,118
주달,114
숙박,109
마을,98
수,92
친구,91
질문,90
부탁,87
한옥,86
달,82
거,81
제,70
것,68
정보,67
봉이,66
안녕,65
중,64
숙소,61
시간,61
월,61
시,59
티비,58
계획,56
분,56
공원,55
어디,53
당일치기,52
네임,51
카드,51
일정,51
차,50
정도,50
국내,49
인,48
제주,47
게,46
전문,46
버스,45
플,44
덕진,43
언서,42
이번,42
데,42
시장,41
감사,41
제주도,40
택시,39
때,39
터미널,37
답변,37
근처,37
이용,37
도착,36
거리,35
생각,34
원,34
관광,34
전동성당,34
경기전,34
동물원,32
주,32
사람,31
출발,31
남부,29
사항,29
저,29
블로그,29
등,28
부산,28
혼자,28
예정,27
기차,27
길,26
대중교통,26
저녁,26
게시판,26
번,26
집,26
쪽,25
명,25
서울,24
남자,24
당일,24
벽화,24
모텔,23
내공,23
하우스,23
구경,23
호텔,23
도움,22
음식,22
게스트,22
먹거리,22
여자,22
참고,22
건데,22
토요일,21
관광지,21
이동,21
가족,21
가능,20
담양,20
주변,20
처음,19
한복,19
지역,19
전라도,19
다음,19
볼거리,18
주말,18
관련,18
여행지,18
박물관,17
장소,17
둘,17
날,17
군산,17
광주,17
외,17
체험,16
준비,16
사진,16
가격,15
부모,15
말,14
전통,14
객사,14
오후,14
비용,14
술,14
막걸리,14
문화,14
하루,14
수목원,14
향교,14
명소,14
방법,14
시외버스,13
예약,13
객리,13
아이,13
동안,13
화마,13
시작,13
경우,13
커플,13
카페,13
말씀,13
전북,13
얼마,12
지도,12
엄마,12
교통편,12
추억,12
야경,12
시내,11
아래,11
오,11
가요,11
천,11
펜션,11
후,11
등등,11
날씨,11
듯,11
내,11
금요일,11
전주식,11
대전,11
동선,11
고민,10
위주,10
자차,10
오전,10
대여,10
동반,10
저희,10
살,10
비빔밥,10
주사,10
도시,9
순서,9
정리,9
아빠,9
목대,9
벽,9
남,9
방문,9
고속버스,9
확인,9
내일,9
필요,9
주역,9
도보,9
경비,9
중심,9
꺼,9
끝,9
렌트,9
껀,9
강아지,9
아침,9
식사,8
애견,8
산책,8
성당,8
캐릭터,8
검색,8
낮,8
급,8
맛,8
왕복,8
위치,8
건,8
창원,8
대,8
밤,8
점심,8
갈만,8
자만,8
비,8
수학여행,8
초,8
야시장,8
대구,8
쭈니,8
전주역,8
때문,8
학생,8
한국,8
교통,8
포함,8
블로거,8
나,8
역사,8
문,8
여기,8
이,7
거기,7
적,7
겨울,7
경주,7
전주비빔밥,7
주차,7
시설,7
국립,7
자가용,7
여행가,7
찜질방,7
하나,7
가지,7
글,7
사용,6
불편,6
북대,6
길거리,6
인천,6
점,6
한정식,6
자동차,6
동물,6
풍남문,6
딸,6
대표,6
고등학교,6
루트,6
걱정,6
전세,6
유명,6
전주시,6
추석,6
여름,6
일요일,6
겁니다,6
안,6
테마,6
초코파이,6
경로,5
요금,5
도,5
선택,5
이외,5
여,5
뭐,5
예상,5
덕진구,5
경기,5
투어,5
평일,5
문의,5
조언,5
자전거,5
법,5
중순,5
영화제,5
풍남,5
순천,5
첨부,5
옥,5
정,5
슈퍼,5
청년,5
기준,5
세,5
중간,5
곡성,5
